path	loc	imports_in	imports_out	status	has_test	last_sha
src/intelligence/flow-tracker.ts	267	3	0	WIRED	N	993d661
src/intelligence/forgecode-techniques.ts	1075	3	3	WIRED	N	993d661
src/intelligence/micro-eval.ts	355	2	0	WIRED	Y	993d661
src/intelligence/multi-patch-voter.ts	222	0	1	ORPHAN	Y	9491750
src/intelligence/overrides.ts	308	1	1	WIRED	N	993d661
src/intelligence/parallel-search.ts	401	1	3	WIRED	Y	993d661
src/intelligence/patch-scorer.ts	468	2	5	WIRED	Y	381e916
src/intelligence/policy-injector.ts	248	0	1	ORPHAN	Y	c119c6e
src/intelligence/predictive-context.ts	310	2	0	WIRED	N	993d661
src/intelligence/prefill-continuation.ts	157	1	0	WIRED	N	5d31766
src/intelligence/provider-arbitrage.ts	222	2	1	WIRED	N	993d661
src/intelligence/response-validator.ts	555	2	0	WIRED	N	993d661
src/intelligence/schema-optimizer.ts	184	1	0	WIRED	N	993d661
src/intelligence/search-providers.ts	257	0	1	ORPHAN	Y	19a686d
src/intelligence/smart-file-search.ts	312	1	3	WIRED	N	cb3d661
src/intelligence/smart-retry.ts	258	2	0	WIRED	Y	993d661
src/intelligence/strict-schema.ts	360	0	0	ORPHAN	Y	de202e4
src/intelligence/task-semantic-router.ts	349	2	0	WIRED	Y	ad37d2c
src/intelligence/tool-pattern-detector.ts	161	0	0	ORPHAN	Y	aaf7ec2
src/intelligence/trace-analyzer.ts	362	2	0	WIRED	N	79ff6f0
src/intelligence/trajectory-scorer.ts	317	2	0	WIRED	Y	993d661
src/intelligence/user-model.ts	195	2	2	WIRED	N	993d661
src/intelligence/verification-cascade.ts	317	1	3	WIRED	N	993d661
src/intelligence/wall-clock-budget.ts	149	1	0	WIRED	N	993d661
src/learning/autodream.ts	440	3	4	WIRED	N	1a170d4
src/learning/cross-session.ts	498	2	3	WIRED	N	993d661
src/learning/darwinian-evolver.ts	197	0	1	ORPHAN	Y	870a01f
src/learning/decision-ledger.ts	286	3	3	WIRED	N	993d661
src/learning/dream-pipeline.ts	541	2	3	WIRED	N	993d661
src/learning/dream-runner.ts	295	3	5	WIRED	N	993d661
src/learning/feedback-collector.ts	233	1	3	WIRED	N	993d661
src/learning/gepa-optimizer.ts	278	2	0	WIRED	Y	3c1b215
src/learning/instinct-system.ts	353	2	5	WIRED	Y	993d661
src/learning/miprov2-optimizer.ts	183	0	0	ORPHAN	Y	c06d3cc
src/learning/nightly-consolidator.ts	264	1	0	WIRED	Y	993d661
src/learning/pattern-crystallizer.ts	303	1	3	WIRED	N	993d661
src/learning/reflection-buffer.ts	200	0	0	ORPHAN	Y	694503b
src/learning/self-evolution.ts	284	1	7	WIRED	N	cb3d661
src/learning/skill-forge.ts	673	2	4	WIRED	Y	993d661
src/learning/types.ts	81	3	0	WIRED	N	993d661
src/lib.ts	1039	0	143	ENTRY	N	ace6cea
src/lsp/lsp-tools.ts	333	0	1	ORPHAN	Y	45208ee
src/lsp/symbol-operations.ts	886	10	14	WIRED	N	5d31766
src/marketplace/manifest.ts	242	1	3	WIRED	N	993d661
src/marketplace/registry.ts	779	3	8	WIRED	N	0c136e4
src/mcp/mcp-server.ts	296	0	2	ENTRY	Y	a0531ce
src/meet/coaching-engine.ts	119	3	1	WIRED	N	993d661
src/meet/meeting-pipeline.ts	193	3	2	WIRED	N	993d661
src/meet/meeting-runtime.ts	222	0	5	ORPHAN	Y	b7924fc
src/meet/meeting-store.ts	142	1	2	WIRED	N	993d661
src/memory/active-memory.ts	203	1	1	WIRED	N	74fc630
src/memory/cloud-sync.ts	265	2	1	WIRED	Y	993d661
src/memory/context-fence.ts	206	1	0	WIRED	Y	993d661
src/memory/context-loader.ts	275	1	2	WIRED	N	993d661
src/memory/context-tree-files.ts	235	1	2	WIRED	N	cb3d661
src/memory/context-tree.ts	388	2	2	WIRED	Y	993d661
src/memory/contextual-embeddings.ts	212	0	0	ORPHAN	Y	81c7a48
src/memory/contradiction-detector.ts	342	1	1	WIRED	N	993d661
src/memory/conversation-miner.ts	555	2	2	WIRED	Y	993d661
src/memory/dual-timestamp.ts	296	0	0	ORPHAN	Y	cc18611
src/memory/entity-types.ts	236	0	1	ORPHAN	Y	f764929
src/memory/episodic-memory.ts	525	2	2	WIRED	N	993d661
src/memory/extended-search-types.ts	350	1	0	WIRED	Y	b470f7d
src/memory/freshness-decay.ts	201	1	1	WIRED	N	993d661
src/memory/graph-rag.ts	762	3	1	WIRED	Y	993d661
src/memory/hybrid-retrieval.ts	255	0	1	ORPHAN	Y	b4a0bc4
src/memory/incremental-indexer.ts	256	0	4	ORPHAN	Y	aef3314
src/memory/mem-palace.ts	267	0	0	ORPHAN	Y	c7eec26
src/memory/memory-benchmark.ts	530	0	1	ORPHAN	Y	993d661
src/memory/memory-tools.ts	580	0	3	ORPHAN	N	563f666
src/memory/memvid-backend.ts	393	0	3	ORPHAN	N	993d661
src/memory/observation-extractor.ts	373	1	2	WIRED	Y	993d661
src/memory/pluggable-provider.ts	368	1	1	WIRED	N	cb3d661
src/memory/proactive-memory.ts	366	2	0	WIRED	N	993d661
src/memory/qmd-integration.ts	174	1	2	WIRED	N	993d661
src/memory/quantized-vector-store.ts	379	1	1	WIRED	Y	8a9f053
src/memory/relationship-types.ts	281	0	0	ORPHAN	Y	4bb5852
src/memory/retrieval-quality.ts	171	1	0	WIRED	Y	993d661
src/memory/semantic-cache.ts	195	0	0	ORPHAN	Y	0e2d232
src/memory/semantic-search.ts	319	3	0	WIRED	N	993d661
src/memory/store.ts	1994	21	5	WIRED	N	79ff6f0
src/memory/temporal-memory.ts	441	1	0	WIRED	Y	993d661
src/memory/tunnel-detector.ts	195	1	1	WIRED	Y	993d661
src/memory/unified-knowledge.ts	142	1	0	WIRED	N	993d661
src/memory/vector-store.ts	528	1	1	WIRED	N	993d661
src/middleware/auto-install.ts	306	1	1	WIRED	N	993d661
src/middleware/doom-loop.ts	463	1	1	WIRED	N	993d661
src/middleware/file-type-gate.ts	357	0	1	ORPHAN	Y	af46533
src/middleware/forced-verification.ts	209	0	0	ORPHAN	N	993d661
src/middleware/intent-gate.ts	203	1	1	WIRED	N	993d661
src/middleware/layers.ts	507	2	5	WIRED	N	5d31766
src/middleware/local-context.ts	255	2	3	WIRED	N	993d661
src/middleware/non-interactive.ts	222	1	1	WIRED	N	cb3d661
src/middleware/output-truncation.ts	150	1	1	WIRED	Y	993d661
src/middleware/pipeline.ts	300	1	13	WIRED	N	1b99f08
src/middleware/plan-enforcement.ts	286	1	1	WIRED	N	5d31766
src/middleware/pre-completion-checklist.ts	467	2	3	WIRED	N	993d661
src/middleware/reasoning-sandwich.ts	378	1	1	WIRED	N	993d661
src/middleware/response-cache.ts	372	3	1	WIRED	N	993d661
src/middleware/stale-detection.ts	267	1	1	WIRED	N	993d661
src/middleware/system-notifications.ts	353	1	1	WIRED	N	993d661
src/middleware/tool-pair-validator.ts	174	1	2	WIRED	Y	cb3d661
src/middleware/ttsr.ts	132	1	0	WIRED	N	993d661
src/middleware/types.ts	97	15	1	WIRED	N	993d661
src/middleware/verification-enforcement.ts	226	1	3	WIRED	N	993d661
src/mobile/haptic-feedback.ts	69	3	0	WIRED	Y	993d661
src/mobile/ios-app.ts	837	2	5	WIRED	Y	cb3d661
src/mobile/ios-types.ts	305	2	0	WIRED	N	993d661
src/mobile/secure-auth.ts	310	2	1	WIRED	Y	79ff6f0
src/monitoring/source-monitor.ts	324	3	3	WIRED	N	993d661
src/orchestration/agent-hierarchy.ts	218	1	0	WIRED	Y	cb3d661
src/orchestration/agent-registry.ts	528	2	2	WIRED	N	993d661
src/orchestration/agent-workspace.ts	216	1	3	WIRED	Y	993d661
src/orchestration/architect-editor.ts	179	1	1	WIRED	N	ad37d2c
src/orchestration/arena.ts	201	4	2	WIRED	N	79ff6f0
src/orchestration/auto-commit.ts	307	1	3	WIRED	Y	1b99f08
src/orchestration/autonomous-context.ts	339	1	0	WIRED	N	993d661
src/orchestration/autonomous.ts	1281	7	1	WIRED	N	5de7521
src/orchestration/code-mode.ts	281	0	0	ORPHAN	Y	312a597
src/orchestration/coordinator.ts	273	2	4	WIRED	N	993d661
src/orchestration/council.ts	530	3	2	WIRED	N	c9d9f7b
src/orchestration/graph-dsl.ts	202	2	0	WIRED	N	cb3d661
src/orchestration/living-spec.ts	379	1	2	WIRED	N	993d661
src/orchestration/parallel-coordinator.ts	148	0	0	ORPHAN	Y	5f2d1e1
src/orchestration/plan-store.ts	759	2	4	WIRED	Y	993d661
src/orchestration/proof-bundles.ts	138	2	5	WIRED	N	993d661
src/orchestration/pwr-cycle.ts	137	1	1	WIRED	N	993d661
src/orchestration/ralph-mode.ts	198	1	1	WIRED	N	993d661
src/orchestration/red-blue-testing.ts	268	1	0	WIRED	Y	993d661
src/orchestration/self-healing-pipeline.ts	519	2	3	WIRED	N	c17a5e3
src/orchestration/spec-to-ship.ts	455	1	0	WIRED	N	cb3d661
src/orchestration/speculative-execution.ts	137	0	0	ORPHAN	Y	acb65b6
src/orchestration/task-delegation.ts	151	2	1	WIRED	N	993d661
src/orchestration/ultraplan.ts	251	1	2	WIRED	N	993d661
src/orchestration/wave-executor.ts	247	2	1	WIRED	Y	993d661
src/orchestration/workflow-dag.ts	637	2	3	WIRED	N	5d31766
src/orchestration/worktree-kanban.ts	190	1	1	WIRED	Y	dd50e5b
src/plugins/lifecycle.ts	288	2	0	WIRED	N	cb3d661
src/plugins/manager.ts	196	2	6	WIRED	N	993d661
src/prompt/engine.ts	529	20	6	WIRED	N	85015cf
src/prompt/instruction-provenance.ts	116	2	0	WIRED	N	993d661
src/prompt/model-formatter.ts	267	2	0	WIRED	N	993d661
src/prompt/modules/capabilities.ts	111	1	1	WIRED	N	186c227
src/prompt/modules/channels.ts	20	1	1	WIRED	N	993d661
src/prompt/modules/conventions.ts	78	1	3	WIRED	N	993d661
src/prompt/modules/cost.ts	28	1	1	WIRED	N	993d661
src/prompt/modules/history.ts	35	1	1	WIRED	N	993d661
src/prompt/modules/identity.ts	94	1	4	WIRED	N	f9647c9
src/prompt/modules/index.ts	139	1	18	WIRED	N	993d661
src/prompt/modules/llms-txt.ts	57	1	3	WIRED	N	993d661
src/prompt/modules/memory.ts	136	1	2	WIRED	N	993d661
src/prompt/modules/mode.ts	81	1	1	WIRED	N	993d661
src/prompt/modules/phone.ts	38	1	1	WIRED	N	993d661
src/prompt/modules/project.ts	33	1	2	WIRED	N	993d661
src/prompt/modules/safety.ts	43	1	1	WIRED	N	993d661
src/prompt/modules/security.ts	142	1	1	WIRED	N	993d661
src/prompt/modules/skills.ts	25	1	1	WIRED	N	993d661
src/prompt/modules/surfaces.ts	34	1	1	WIRED	N	993d661
src/prompt/modules/tools.ts	115	1	1	WIRED	N	186c227
src/prompt/modules/user.ts	24	1	1	WIRED	N	97771c7
src/prompt/template-compiler.ts	276	0	0	ORPHAN	Y	3d10d81
src/prompt/think-in-code.ts	177	0	0	ORPHAN	Y	1385798
src/providers/account-pool.ts	293	5	1	WIRED	N	6ca693d
src/providers/anthropic-adapter.ts	326	1	4	WIRED	N	cb3d661
src/providers/anthropic-subscription.ts	299	3	7	WIRED	N	4a8ceea
src/providers/bedrock-signer.ts	485	1	3	WIRED	N	c766c5c
src/providers/budget-downgrader.ts	162	0	0	ORPHAN	Y	0d1eef3
src/providers/capability-augmenter.ts	252	1	3	WIRED	N	7f94b95
src/providers/capability-equalizer.ts	548	3	0	WIRED	N	993d661
src/providers/capability-fingerprint.ts	244	1	0	WIRED	N	cb3d661
src/providers/circuit-breaker.ts	186	0	0	ORPHAN	Y	5b31410
src/providers/cli-registry.ts	256	1	4	WIRED	N	de6ac39
src/providers/codex-adapter.ts	523	1	5	WIRED	N	b06b184
src/providers/codex-oauth.ts	359	3	6	WIRED	N	993d661
src/providers/copilot-adapter.ts	540	1	2	WIRED	N	b6fe189
src/providers/credential-pool.ts	461	2	3	WIRED	N	cb3d661
src/providers/discovery.ts	768	10	5	WIRED	N	cb55d53
src/providers/dynamic-discovery.ts	280	1	0	WIRED	N	5d31766
src/providers/extended-thinking.ts	211	1	1	WIRED	N	993d661
src/providers/fallback-chain.ts	148	3	1	WIRED	N	6ca693d
src/providers/format-translator.ts	333	5	1	WIRED	N	6ca693d
src/providers/gemini-native-adapter.ts	519	1	2	WIRED	N	4e33869
src/providers/harness-profiles.ts	242	0	1	ORPHAN	N	518e38e
src/providers/header-injection.ts	106	1	1	WIRED	N	cb3d661
src/providers/model-defaults.ts	215	3	0	WIRED	N	5de7521
src/providers/model-performance.ts	84	2	3	WIRED	N	993d661
src/providers/model-router.ts	415	2	3	WIRED	N	5457b36
src/providers/model-switcher.ts	468	1	3	WIRED	Y	cb3d661
src/providers/ollama-adapter.ts	406	2	1	WIRED	N	55b68ff
src/providers/openai-compat-adapter.ts	386	1	4	WIRED	N	16f6a83
src/providers/prompt-cache-warmup.ts	315	0	0	ORPHAN	Y	a5137c7
src/providers/provider-brain.ts	270	1	1	WIRED	N	993d661
src/providers/provider-service.ts	1306	8	7	WIRED	N	81700d2
src/providers/rate-limiter.ts	182	2	3	WIRED	N	993d661
src/providers/registry.ts	406	3	16	WIRED	N	1bbb47d
src/providers/retry-strategies.ts	227	0	0	ORPHAN	Y	37bfea5
src/providers/thinking-preserver.ts	144	1	0	WIRED	N	993d661
src/providers/tool-parsers/index.ts	30	1	1	WIRED	N	7f94b95
src/providers/tool-parsers/parsers.ts	633	1	0	WIRED	N	2346381
src/providers/types.ts	124	24	1	WIRED	N	343ceb3
src/providers/usage-intelligence.ts	174	0	0	ORPHAN	N	993d661
src/providers/vertex-oauth.ts	441	1	5	WIRED	N	12006de
src/runtime-hooks/dead-code-hooks.ts	186	0	3	ORPHAN	Y	621689a
src/sandbox/approval-rules.ts	228	0	0	ORPHAN	Y	d092d70
src/sandbox/docker-backend.ts	667	2	2	WIRED	Y	993d661
src/sandbox/execution-environments.ts	173	1	0	WIRED	Y	24b5ce1
src/sandbox/executor.ts	171	3	5	WIRED	N	0ba8cea
src/sandbox/extended-backends.ts	237	0	2	ORPHAN	Y	f25a8d0
src/sandbox/output-isolator.ts	284	0	1	ORPHAN	Y	89b4f56
src/sandbox/security.ts	392	3	4	WIRED	N	5d31766
src/sandbox/task-isolation.ts	316	4	5	WIRED	Y	993d661
src/sandbox/terminal-backends.ts	671	2	2	WIRED	N	993d661
src/sandbox/unified-exec.ts	318	0	3	ORPHAN	Y	dada187
src/security/anti-distillation.ts	433	2	0	WIRED	N	5d31766
src/security/archive-preflight.ts	248	1	2	WIRED	N	993d661
src/security/auto-classifier.ts	396	2	0	WIRED	N	993d661
src/security/command-sanitizer.ts	195	1	0	WIRED	N	993d661
src/security/confirm-action.ts	286	1	1	WIRED	Y	993d661
src/security/file-freeze.ts	211	1	1	WIRED	N	cb3d661
src/security/guardrails-off.ts	842	2	3	WIRED	N	518e38e
src/security/hash-audit-chain.ts	272	2	2	WIRED	Y	993d661
src/security/human-approval.ts	260	1	0	WIRED	N	993d661
src/security/intent-verifier.ts	330	2	0	WIRED	N	993d661
src/security/pii-redactor.ts	287	2	0	WIRED	N	993d661
src/security/plugin-sandbox.ts	385	2	1	WIRED	Y	993d661
src/security/privacy-router.ts	471	2	0	WIRED	N	993d661
src/security/rules-of-engagement.ts	370	1	2	WIRED	N	993d661
src/security/secret-scanner.ts	215	2	1	WIRED	N	993d661
src/security/skills-guard.ts	425	3	0	WIRED	Y	993d661
src/skills/agentskills-registry.ts	217	1	4	WIRED	N	a93b605
src/skills/eval.ts	255	1	7	WIRED	N	993d661
